type,start_seconds,end_seconds
Reasoning,1471.691,1474.826
CommandExecution,1511.762,1511.806
Reasoning,1513.805,1517.786
AgentMessage,1517.789,1522.131
AgentMessage,1523.424,1523.424
CommandExecution,1533.213,1533.214
Reasoning,1535.716,1538.426
CommandExecution,1544.666,1544.667
Reasoning,1546.841,1547.635
CommandExecution,1552.406,1552.406
Reasoning,1554.662,1555.061
AgentMessage,1555.063,1557.746
Reasoning,1557.75,1571.296
CommandExecution,1591.574,1592.983
Reasoning,1595.251,1596.426
CommandExecution,1590.369,1599.64
CommandExecution,1602.816,1602.817
Reasoning,1605.015,1625.181
Reasoning,1625.185,1643.081
CommandExecution,1655.8,1655.8
CommandExecution,1654.671,1659.247
Reasoning,1661.641,1664.566
CommandExecution,1667.97,1667.971
Reasoning,1670.946,1688.331
Reasoning,1688.334,1710.661
AgentMessage,1710.664,1714.576
CommandExecution,1601.706,1730.08
CommandExecution,1738.292,1745.042
Reasoning,1743.985,1752.626
CommandExecution,1758.503,1758.503
CommandExecution,1051.64,1758.628
CommandExecution,1052.843,1758.637
CommandExecution,1035.949,1758.644
CommandExecution,1034.762,1758.759
CommandExecution,1037.142,1758.813
CommandExecution,1119.125,1758.882
CommandExecution,1758.948,1758.949
Reasoning,1760.396,1762.961
CommandExecution,1770.424,1770.424
CommandExecution,1768.156,1770.996
Reasoning,1773.571,1779.476
CommandExecution,1796.626,1796.628
CommandExecution,1796.722,1796.722
Reasoning,1801.126,1812.061
CommandExecution,1769.344,1848.096
CommandExecution,1938.185,1938.395
Reasoning,1940.311,1958.956
CommandExecution,2024.202,2028.049
Reasoning,2028.316,2047.146
CommandExecution,2158.096,2158.131
Reasoning,2162.736,2172.447
CommandExecution,2210.539,2215.348
Reasoning,2215.001,2217.049
AgentMessage,2217.052,2220.673
CommandExecution,2226.456,2226.456
CommandExecution,2225.34,2227.834
Reasoning,2229.961,2248.772
Reasoning,2248.777,2257.836
CommandExecution,2265.412,2265.413
Reasoning,2268.682,2271.836
CommandExecution,2276.291,2276.291
Reasoning,2279.331,2287.336
CommandExecution,2297.819,2297.873
Reasoning,2301.026,2301.501
CommandExecution,2309.969,2309.97
CommandExecution,2308.852,2312.293
Reasoning,2312.721,2325.951
CommandExecution,2397.706,2397.916
Reasoning,2403.471,2408.202
Reasoning,2414.798,2416.606
CommandExecution,2411.317,2418.984
CommandExecution,2427.185,2428.182
CommandExecution,2428.387,2431.291
Reasoning,2431.128,2441.152
CommandExecution,2448.093,2448.094
Reasoning,2453.203,2474.241
AgentMessage,2474.244,2477.121
CommandExecution,2446.984,2484.618
CommandExecution,2500.153,2500.153
CommandExecution,2500.303,2500.304
Reasoning,2503.791,2504.846
CommandExecution,2508.949,2508.949
Reasoning,2514.296,2517.486
CommandExecution,2524.982,2526.458
Reasoning,2530.296,2552.806
Reasoning,2552.809,2563.951
CommandExecution,2570.903,2571.017
Reasoning,2573.437,2590.261
CommandExecution,2569.7,2590.35
CommandExecution,2605.014,2605.015
Reasoning,2607.921,2613.051
CommandExecution,2618.588,2622.143
CommandExecution,2617.382,2628.126
Reasoning,2623.846,2644.641
CommandExecution,2666.112,2672.445
Reasoning,2669.576,2690.946
CommandExecution,2692.824,2692.824
Reasoning,2695.331,2716.646
CommandExecution,2740.094,2740.168
Reasoning,2743.666,2764.861
CommandExecution,2774.863,2775.02
CommandExecution,2773.657,2777.165
Reasoning,2778.171,2802.801
CommandExecution,2805.282,2809.538
Reasoning,2809.926,2830.773
CommandExecution,2836.808,2836.809
CommandExecution,2835.683,2857.633
ContextCompaction,2836.817,3008.764
CommandExecution,3013.02,3013.02
CommandExecution,3013.109,3013.109
Reasoning,3015.396,3015.706
AgentMessage,3015.711,3017.896
CommandExecution,3023.889,3023.89
CommandExecution,3023.936,3027.474
Reasoning,3026.971,3027.771
CommandExecution,3031.814,3031.815
CommandExecution,3024.038,3034.155
CommandExecution,3034.23,3034.23
AgentMessage,3037.886,3041.056
CommandExecution,2603.867,3044.173
CommandExecution,2211.751,3044.173
AgentMessage,3059.141,3060.006
CommandExecution,3065.992,3065.992
Reasoning,3070.866,3071.671
CommandExecution,3076.433,3076.433
CommandExecution,3083.02,3083.02
Reasoning,3084.506,3085.182
CommandExecution,3088.794,3088.794
Reasoning,3092.821,3093.18
AgentMessage,3093.185,3094.756
CommandExecution,3097.946,3097.947
CommandExecution,3103.342,3103.587
Extension,3103.641,3105.285
Reasoning,3108.165,3109.02
CommandExecution,3113.626,3113.798
Reasoning,3119.866,3120.525
CommandExecution,3127.085,3127.086
Reasoning,3129.46,3130.075
McpToolCall,3136.758,3138.715
CommandExecution,3138.919,3139.123
Reasoning,3142.03,3142.715
McpToolCall,3145.183,3145.185
CommandExecution,3145.276,3145.276
McpToolCall,3149.883,3149.884
CommandExecution,3150.065,3150.065
Reasoning,3151.74,3152.16
McpToolCall,3152.81,3152.827
Reasoning,3154.7,3160.931
AgentMessage,3160.934,3162.125
CommandExecution,3165.423,3165.423
AgentMessage,3174.033,3174.034
Reasoning,3176.71,3177.505
CommandExecution,3164.342,3178.714
CommandExecution,3198.913,3199.356
Reasoning,3201.442,3202.45
AgentMessage,3211.1,3213.1
Reasoning,3213.103,3215.345
CommandExecution,3220.846,3221.049
CommandExecution,3207.422,3223.129
Reasoning,3225.517,3228.23
CommandExecution,3234.262,3234.969
Reasoning,3236.641,3239.0
CommandExecution,3243.827,3254.262
Reasoning,3257.91,3258.82
AgentMessage,3258.822,3260.96
CommandExecution,3272.393,3272.394
Reasoning,3276.495,3277.775
CommandExecution,3282.082,3282.082
Reasoning,3283.89,3284.405
AgentMessage,3284.407,3285.605
Extension,3288.355,3289.53
CommandExecution,3289.737,3289.764
Reasoning,3293.37,3295.375
CommandExecution,3300.602,3300.603
Reasoning,3302.391,3307.445
AgentMessage,3307.455,3308.93
CommandExecution,3314.311,3314.312
Extension,3314.236,3316.25
Reasoning,3317.855,3318.57
CommandExecution,3314.391,3318.718
Extension,3325.414,3326.421
CommandExecution,3327.784,3327.785
Reasoning,3329.845,3330.68
CommandExecution,3326.624,3330.798
CommandExecution,3335.987,3335.987
Reasoning,3338.34,3341.844
CommandExecution,3345.666,3346.148
Reasoning,3348.17,3357.395
CommandExecution,3360.077,3360.3
Reasoning,3362.58,3363.35
CommandExecution,3383.159,3383.159
Reasoning,3387.244,3387.885
CommandExecution,3393.255,3393.256
Reasoning,3394.994,3400.109
CommandExecution,3403.125,3403.126
Reasoning,3405.344,3407.845
CommandExecution,3383.361,3431.603
Reasoning,3436.304,3438.669
CommandExecution,3442.73,3442.731
CommandExecution,3429.666,3443.533
Reasoning,3448.694,3450.479
AgentMessage,3450.484,3452.444
CommandExecution,3456.674,3456.822
Reasoning,3460.464,3466.409
CommandExecution,3495.376,3495.904
Reasoning,3535.974,3536.344
AgentMessage,3536.346,3537.125
CommandExecution,3547.989,3547.99
CommandExecution,3548.134,3548.244
CommandExecution,3548.039,3548.418
Reasoning,3551.089,3551.487
AgentMessage,3551.504,3553.749
CommandExecution,3563.741,3567.269
CommandExecution,3561.328,3570.91
Reasoning,3566.375,3574.024
CommandExecution,3576.435,3576.464
Reasoning,3578.309,3581.644
CommandExecution,3584.186,3584.186
Reasoning,3585.879,3586.529
CommandExecution,3589.653,3589.653
Reasoning,3592.529,3595.614
CommandExecution,3604.007,3604.21
CommandExecution,3562.532,3607.691
Reasoning,3606.139,3609.611
CommandExecution,3639.978,3639.979
CommandExecution,3638.787,3641.806
Reasoning,3643.81,3648.61
AgentMessage,3648.613,3650.3
CommandExecution,3661.121,3661.483
CommandExecution,3659.921,3667.052
Reasoning,3664.914,3669.66
CommandExecution,3677.832,3678.193
Reasoning,3682.799,3689.254
CommandExecution,3442.92,3699.26
CommandExecution,3678.401,3700.499
CommandExecution,3700.847,3701.587
CommandExecution,3701.792,3701.857
Reasoning,3703.449,3706.214
CommandExecution,3712.9,3713.445
Reasoning,3718.314,3721.244
AgentMessage,3723.327,3723.327
Reasoning,3726.369,3735.049
CommandExecution,3740.525,3740.848
Reasoning,3743.529,3744.019
CommandExecution,3739.322,3750.458
CommandExecution,3749.596,3754.704
Reasoning,3754.863,3773.204
CommandExecution,3775.932,3776.379
Reasoning,3779.253,3787.019
AgentMessage,3787.022,3788.264
CommandExecution,3494.173,3795.207
CommandExecution,3796.047,3796.38
Reasoning,3798.883,3799.593
CommandExecution,3801.307,3801.816
Reasoning,3803.938,3815.639
CommandExecution,3823.669,3823.67
Reasoning,3826.983,3830.19
CommandExecution,3832.739,3832.739
Reasoning,3841.253,3850.584
CommandExecution,3748.394,3851.865
CommandExecution,3852.392,3852.392
Reasoning,3854.273,3857.119
CommandExecution,3862.591,3864.483
Reasoning,3878.303,3881.123
CommandExecution,3897.713,3898.893
Reasoning,3901.404,3902.06
CommandExecution,3905.546,3905.547
Reasoning,3912.429,3920.823
AgentMessage,3920.874,3922.764
AgentMessage,3925.184,3926.106
CommandExecution,3928.487,3928.977
Reasoning,3931.928,3933.018
CommandExecution,3936.843,3936.843
Reasoning,3939.733,3943.423
CommandExecution,3945.618,3946.02
Reasoning,3950.396,3951.143
CommandExecution,3953.812,3953.813
Reasoning,3956.258,3958.773
CommandExecution,3962.112,3962.112
Reasoning,3964.323,3966.418
AgentMessage,3966.423,3968.157
AgentMessage,3970.489,3970.489
Reasoning,3976.048,3978.423
Extension,3978.76,3998.762
CommandExecution,4002.694,4003.122
Reasoning,4006.393,4008.898
CommandExecution,4009.979,4009.979
Reasoning,4014.133,4021.508
Extension,4021.715,4041.717
CommandExecution,4044.943,4045.34
AgentMessage,4048.588,4050.954
AgentMessage,4129.519,4130.163
CommandExecution,4131.713,4132.184
Reasoning,4134.043,4143.198
CommandExecution,4145.427,4145.428
Reasoning,4147.583,4148.338
CommandExecution,4152.33,4152.331
Reasoning,4156.363,4159.608
AgentMessage,4159.615,4160.533
CommandExecution,4163.263,4163.959
CommandExecution,4170.267,4170.95
CommandExecution,4180.38,4180.445
Reasoning,4182.793,4187.188
CommandExecution,4191.991,4192.203
Reasoning,4194.768,4197.783
CommandExecution,4202.248,4202.248
Reasoning,4205.743,4214.318
CommandExecution,4221.625,4221.626
AgentMessage,4224.528,4227.448
AgentMessage,4228.567,4228.567
Reasoning,4233.158,4251.668
CommandExecution,4253.01,4253.487
Reasoning,4264.233,4271.258
CommandExecution,4274.203,4274.204
Reasoning,4278.553,4279.78
Extension,4280.427,4286.268
CommandExecution,4292.112,4292.555
Reasoning,4299.738,4303.743
AgentMessage,4303.745,4304.563
CommandExecution,4318.532,4319.624
AgentMessage,4327.848,4330.233
AgentMessage,4582.134,4582.983
CommandExecution,4586.288,4586.288
CommandExecution,4586.304,4586.305
Reasoning,4590.478,4592.983
CommandExecution,4594.363,4594.364
Reasoning,4596.662,4606.148
AgentMessage,4606.151,4613.263
Reasoning,6868.457,6869.461
AgentMessage,6869.467,6871.201
CommandExecution,6874.456,6874.457
CommandExecution,6874.485,6874.485
Reasoning,6877.175,6879.18
CommandExecution,6882.433,6882.434
CommandExecution,6882.633,6886.348
Reasoning,6885.771,6900.761
CommandExecution,6902.919,6902.92
Reasoning,6906.193,6910.297
CommandExecution,6920.73,6920.73
Reasoning,6924.701,6943.371
AgentMessage,6943.377,6945.276
CommandExecution,6945.959,6945.96
Reasoning,6948.405,6964.139
Reasoning,7027.751,7028.701
CommandExecution,7029.459,7029.46
Reasoning,7032.621,7047.926
CommandExecution,7069.907,7069.907
Reasoning,7074.856,7079.321
CommandExecution,7081.287,7081.287
Reasoning,7083.071,7095.811
CommandExecution,7131.764,7135.423
Reasoning,7134.756,7155.801
CommandExecution,7157.296,7157.297
Reasoning,7160.216,7177.076
CommandExecution,7201.322,7212.48
Reasoning,7205.946,7217.906
CommandExecution,7237.928,7242.861
Reasoning,7241.041,7242.932
CommandExecution,7245.885,7245.885
Reasoning,7248.247,7248.722
AgentMessage,7248.724,7251.751
CommandExecution,7261.879,7279.719
Reasoning,7265.088,7282.972
CommandExecution,7336.438,7336.439
Reasoning,7342.588,7350.014
CommandExecution,7372.756,7373.25
CommandExecution,7371.567,7384.576
Reasoning,7376.592,7392.618
CommandExecution,7393.928,7393.929
Reasoning,7398.247,7405.942
CommandExecution,7409.51,7413.729
Reasoning,7412.312,7421.653
CommandExecution,7425.976,7426.066
Reasoning,7428.757,7431.073
Reasoning,7437.089,7454.648
AgentMessage,7454.653,7456.913
CommandExecution,7484.99,7485.28
CommandExecution,7485.477,7487.57
Reasoning,7490.058,7491.303
CommandExecution,7497.192,7497.356
CommandExecution,7497.549,7498.25
Reasoning,7501.363,7503.923
CommandExecution,7511.198,7511.199
Reasoning,7514.524,7515.39
Reasoning,7520.318,7529.018
McpToolCall,7529.965,7531.949
McpToolCall,7541.244,7541.553
Reasoning,7544.158,7545.368
McpToolCall,7550.839,7551.254
CommandExecution,7551.444,7551.753
CommandExecution,7511.39,7563.62
ContextCompaction,7551.76,7705.563
CommandExecution,7711.283,7711.283
CommandExecution,7716.678,7716.678
CommandExecution,7716.737,7716.738
CommandExecution,7716.804,7716.804
Reasoning,7719.953,7720.414
AgentMessage,7720.416,7721.81
CommandExecution,7724.655,7724.655
CommandExecution,7724.732,7724.732
Reasoning,7727.539,7735.014
CommandExecution,7735.978,7735.978
Reasoning,7737.335,7738.349
CommandExecution,7760.621,7761.651
Reasoning,7763.261,7764.684
CommandExecution,7775.952,7776.055
CommandExecution,7777.451,7781.754
Reasoning,7780.343,7783.049
CommandExecution,7787.751,7787.751
CommandExecution,7787.835,7787.835
Reasoning,7791.424,7792.164
CommandExecution,7798.5,7798.5
McpToolCall,7798.511,7799.474
Reasoning,7801.209,7804.911
CommandExecution,7808.356,7808.356
CommandExecution,7808.521,7808.521
Reasoning,7814.929,7815.409
CommandExecution,7776.251,7817.152
AgentMessage,7815.412,7818.069
CommandExecution,7822.853,7822.853
CommandExecution,7822.949,7822.949
Reasoning,7824.494,7825.759
CommandExecution,7829.884,7829.885
CommandExecution,7829.972,7829.974
CommandExecution,7835.123,7835.123
Reasoning,7838.509,7840.014
CommandExecution,7848.948,7849.534
Reasoning,7853.309,7854.144
CommandExecution,7860.547,7870.574
Reasoning,7872.329,7873.999
McpToolCall,7880.358,7882.82
CommandExecution,7882.893,7882.893
Reasoning,7884.634,7886.554
CommandExecution,7849.725,7887.882
AgentMessage,7886.556,7888.569
CommandExecution,7893.495,7893.496
CommandExecution,7893.689,7894.488
Reasoning,7896.074,7897.674
Reasoning,7923.954,7925.139
CommandExecution,7936.846,7938.65
CommandExecution,7911.912,7938.897
CommandExecution,7938.97,7938.97
Reasoning,7940.571,7941.674
Reasoning,7950.289,7950.808
CommandExecution,7946.556,7953.557
CommandExecution,7954.116,7954.117
Reasoning,7955.961,7957.323
CommandExecution,7964.476,7964.476
CommandExecution,7964.676,7964.677
CommandExecution,7921.06,7968.412
Reasoning,7967.999,7969.422
CommandExecution,7981.634,7981.655
CommandExecution,7981.851,7984.043
Reasoning,7984.652,7985.114
CommandExecution,7988.575,7988.576
Reasoning,7990.16,7990.695
Reasoning,8001.249,8011.19
CommandExecution,8018.912,8023.261
CommandExecution,7996.909,8025.41
Reasoning,8021.549,8028.824
CommandExecution,8030.528,8030.529
Reasoning,8033.589,8040.744
AgentMessage,8040.749,8042.664
Reasoning,8060.214,8063.104
CommandExecution,8057.109,8065.004
CommandExecution,8074.788,8076.962
Reasoning,8077.884,8079.47
CommandExecution,8086.156,8086.22
Reasoning,8089.531,8090.269
CommandExecution,8092.922,8092.922
Reasoning,8095.002,8097.09
CommandExecution,8110.172,8110.172
CommandExecution,8109.109,8111.871
Reasoning,8113.844,8120.664
CommandExecution,8084.959,8122.945
Reasoning,8132.214,8132.774
Reasoning,8148.224,8149.594
CommandExecution,8154.644,8154.682
Reasoning,8156.56,8157.889
CommandExecution,8162.404,8162.404
CommandExecution,8143.184,8162.608
CommandExecution,8162.794,8162.803
Reasoning,8164.964,8167.36
CommandExecution,8183.976,8184.428
Reasoning,8186.307,8192.065
CommandExecution,8196.41,8196.411
Reasoning,8199.524,8200.91
CommandExecution,8196.617,8200.937
AgentMessage,8200.912,8203.11
CommandExecution,8208.418,8208.418
CommandExecution,8182.779,8213.941
Reasoning,8215.81,8220.19
CommandExecution,8181.58,8222.832
CommandExecution,8223.815,8223.815
CommandExecution,8223.894,8223.895
Reasoning,8236.93,8238.495
CommandExecution,8244.215,8244.215
CommandExecution,8243.11,8244.524
Reasoning,8246.389,8254.225
CommandExecution,8231.91,8255.459
CommandExecution,8257.029,8257.268
Reasoning,8259.69,8262.752
CommandExecution,8267.84,8267.841
CommandExecution,8267.934,8267.934
CommandExecution,8268.001,8268.002
Reasoning,8269.78,8286.265
Reasoning,8286.27,8295.877
CommandExecution,8298.324,8298.324
CommandExecution,8298.514,8298.798
Reasoning,8302.764,8304.85
AgentMessage,8304.853,8307.685
CommandExecution,8327.464,8327.465
CommandExecution,8327.677,8327.965
Reasoning,8330.94,8331.765
CommandExecution,8337.767,8337.768
Reasoning,8341.714,8342.552
CommandExecution,8344.331,8344.331
CommandExecution,8339.167,8344.456
Reasoning,8346.875,8352.42
CommandExecution,8381.557,8381.835
Reasoning,8384.505,8387.09
CommandExecution,8393.848,8394.182
McpToolCall,8394.192,8394.9
Reasoning,8396.935,8402.575
Reasoning,8414.445,8418.91
CommandExecution,8419.728,8419.728
Reasoning,8421.904,8428.76
CommandExecution,8431.256,8431.256
Reasoning,8439.715,8443.33
AgentMessage,8443.334,8445.47
CommandExecution,8447.989,8447.989
CommandExecution,8411.002,8452.704
Reasoning,8450.657,8467.185
CommandExecution,8473.583,8473.583
Reasoning,8475.13,8478.175
CommandExecution,8492.22,8492.22
Reasoning,8499.985,8502.405
CommandExecution,8507.622,8508.968
Reasoning,8511.89,8527.576
CommandExecution,8530.564,8530.564
Reasoning,8532.916,8538.395
AgentMessage,8538.399,8540.762
Reasoning,8540.765,8546.5
CommandExecution,8554.547,8554.547
CommandExecution,8337.968,8558.008
Reasoning,8556.245,8571.955
CommandExecution,8579.573,8579.574
Reasoning,8581.512,8581.971
CommandExecution,8588.438,8589.565
Reasoning,8592.46,8593.35
AgentMessage,8597.33,8604.145
AgentMessage,8608.7,8610.176
CommandExecution,8612.407,8612.407
Reasoning,8616.135,8633.055
AgentMessage,8633.06,8633.865
CommandExecution,8638.462,8638.463
CommandExecution,8638.557,8638.557
Reasoning,8640.441,8659.24
CommandExecution,8659.696,8659.697
Reasoning,8661.935,8664.445
CommandExecution,8665.071,8665.071
Reasoning,8667.08,8688.286
CommandExecution,8790.151,8790.152
Reasoning,8792.65,8801.971
Reasoning,8968.13,8987.296
CommandExecution,8987.8,8987.8
CommandExecution,8988.019,8988.02
CommandExecution,8964.606,8997.407
Reasoning,8990.015,9002.715
AgentMessage,9002.719,9003.171
CommandExecution,9005.815,9005.815
CommandExecution,9005.953,9005.953
Reasoning,9008.785,9027.325
CommandExecution,9046.362,9048.436
CommandExecution,9045.166,9049.256
Reasoning,9050.245,9053.096
CommandExecution,9057.65,9057.661
CommandExecution,9057.86,9058.716
Reasoning,9062.3,9067.05
CommandExecution,9067.702,9067.703
Reasoning,9071.115,9075.368
CommandExecution,9086.408,9086.408
Reasoning,9092.505,9103.155
CommandExecution,9085.244,9104.798
CommandExecution,9121.992,9121.992
CommandExecution,9122.127,9122.127
Reasoning,9124.507,9128.035
CommandExecution,9137.832,9137.833
CommandExecution,9137.909,9137.909
Reasoning,9145.17,9157.38
CommandExecution,9162.638,9162.639
CommandExecution,9162.744,9162.744
Reasoning,9165.015,9171.9
AgentMessage,9171.903,9172.19
CommandExecution,9175.977,9182.203
Reasoning,9178.77,9186.99
CommandExecution,9190.587,9190.587
CommandExecution,9086.609,9190.693
Reasoning,9195.64,9215.17
CommandExecution,9218.415,9218.416
CommandExecution,9216.09,9221.793
Reasoning,9220.907,9228.152
Reasoning,9231.841,9246.551
Reasoning,9249.915,9265.11
CommandExecution,9217.287,9267.385
CommandExecution,9273.852,9273.852
CommandExecution,9272.774,9275.958
Reasoning,9276.697,9279.67
CommandExecution,9296.594,9296.594
Reasoning,9300.392,9315.62
Reasoning,9324.66,9337.82
CommandExecution,9343.311,9352.894
Reasoning,9346.92,9364.836
AgentMessage,9364.84,9365.166
Reasoning,9365.168,9367.61
CommandExecution,9368.308,9368.308
CommandExecution,9368.384,9368.384
CommandExecution,9319.721,9369.517
Reasoning,9374.32,9386.58
CommandExecution,9388.417,9388.417
CommandExecution,9387.296,9392.621
Reasoning,9391.016,9394.14
CommandExecution,9394.566,9394.566
Reasoning,9396.715,9413.71
CommandExecution,9416.149,9422.118
Reasoning,9418.777,9432.83
CommandExecution,9433.624,9433.625
CommandExecution,9433.746,9433.746
Reasoning,9435.799,9445.63
Reasoning,9454.99,9459.625
CommandExecution,9414.941,9463.42
CommandExecution,9463.618,9463.844
Reasoning,9467.35,9473.509
CommandExecution,9478.418,9478.419
CommandExecution,9477.332,9484.815
Reasoning,9481.191,9500.261
Reasoning,9500.265,9506.93
AgentMessage,9506.933,9507.17
CommandExecution,9511.573,9511.573
CommandExecution,9511.653,9511.653
CommandExecution,9510.491,9515.748
CommandExecution,9450.732,9532.218
Reasoning,9513.914,9534.292
CommandExecution,9535.272,9535.615
Reasoning,9537.35,9540.816
CommandExecution,9544.895,9544.895
CommandExecution,9546.282,9552.597
Reasoning,9549.144,9552.91
CommandExecution,9558.252,9558.253
McpToolCall,9558.267,9558.875
Reasoning,9561.059,9579.83
Reasoning,9594.105,9614.794
CommandExecution,9615.656,9615.971
Reasoning,9618.605,9619.984
AgentMessage,9619.987,9622.154
CommandExecution,9590.863,9624.609
Reasoning,9622.162,9641.864
CommandExecution,9642.563,9642.564
Reasoning,9650.004,9672.16
CommandExecution,9684.177,9684.178
Reasoning,9687.93,9709.002
CommandExecution,9709.202,9709.203
CommandExecution,9545.084,9728.797
Reasoning,9717.046,9735.93
CommandExecution,9741.231,9741.231
Reasoning,9743.329,9770.449
Reasoning,9770.452,9782.011
CommandExecution,9787.714,9787.714
Reasoning,9789.771,9792.95
AgentMessage,9792.953,9793.67
CommandExecution,9801.223,9801.224
CommandExecution,9589.652,9806.464
Reasoning,9804.009,9823.794
CommandExecution,9825.274,9825.274
Reasoning,9828.489,9833.764
CommandExecution,9841.759,9843.183
Reasoning,9845.276,9855.094
AgentMessage,9858.529,9864.764
CommandExecution,7408.31,10054.676
AgentMessage,10739.809,10741.649
CommandExecution,10743.262,10743.263
Reasoning,10750.114,10765.84
CommandExecution,10770.091,10770.135
Reasoning,10775.259,10791.239
Reasoning,10791.244,10806.474
CommandExecution,10815.729,10815.729
CommandExecution,10814.612,10821.826
CommandExecution,10813.422,10830.654
Reasoning,10818.18,10833.885
Reasoning,10833.887,10849.314
Reasoning,10849.317,10863.564
CommandExecution,10864.652,10864.652
Reasoning,10868.289,10880.359
AgentMessage,10880.369,10883.504
CommandExecution,10886.607,10888.441
Reasoning,10890.784,10897.331
CommandExecution,10924.7,10925.696
CommandExecution,10925.804,10925.804
Reasoning,10927.66,10946.936
Reasoning,10946.939,10963.499
CommandExecution,11036.194,11036.534
CommandExecution,11036.64,11036.64
ContextCompaction,11036.649,11195.019
CommandExecution,11198.673,11198.673
CommandExecution,11202.76,11202.761
CommandExecution,11202.825,11202.825
Reasoning,11204.24,11204.989
CommandExecution,11214.965,11214.966
CommandExecution,11215.152,11216.079
CommandExecution,11216.139,11216.139
CommandExecution,11224.599,11224.599
CommandExecution,11224.664,11224.665
Reasoning,11227.314,11227.919
AgentMessage,11227.929,11230.189
CommandExecution,11325.643,11325.792
Reasoning,11328.641,11329.15
CommandExecution,11335.2,11335.201
CommandExecution,11336.458,11336.459
Reasoning,11338.141,11338.65
CommandExecution,11349.676,11349.98
CommandExecution,11350.174,11352.599
Reasoning,11352.675,11353.641
CommandExecution,11360.4,11361.336
CommandExecution,11361.401,11361.401
Reasoning,11363.05,11364.405
CommandExecution,11335.387,11365.054
CommandExecution,11368.41,11368.41
